card_id,account_id,customer_id,role,network,bin,pan_masked,last4,expiry,status,issued_at,closed_at,replaced_card_id
CRD-000001,ACC-CR-00001,CUS-00001,primary,VISA,400012,400012******6995,6995,06/30,active,2016-01-11,,
CRD-000002,ACC-CR-00002,CUS-00002,primary,VISA,400012,400012******2721,2721,05/27,active,2025-06-22,,
CRD-000003,ACC-CR-00003,CUS-00003,primary,VISA,400012,400012******3660,3660,04/27,active,2022-04-23,,
CRD-000004,ACC-CR-00004,CUS-00004,primary,VISA,400012,400012******7386,7386,09/28,active,2018-08-16,,
CRD-000005,ACC-CR-00005,CUS-00005,primary,VISA,400012,400012******9264,9264,02/29,active,2009-11-01,,
CRD-000006,ACC-CR-00006,CUS-00006,primary,VISA,400012,400012******0058,0058,05/27,active,2020-05-14,,
CRD-000007,ACC-CR-00007,CUS-00007,primary,VISA,400012,400012******8720,8720,12/30,active,2011-05-02,,
CRD-000008,ACC-CR-00008,CUS-00008,primary,VISA,400012,400012******6932,6932,04/29,active,2019-11-19,,
CRD-000009,ACC-DDA-00001,CUS-00008,primary,VISA,400034,400034******8385,8385,05/27,active,2019-11-19,,
CRD-000010,ACC-CR-00008,CUS-00009,authorized_user,VISA,400012,400012******9021,9021,06/30,active,2021-03-23,,
CRD-000011,ACC-CR-00009,CUS-00010,primary,VISA,400012,400012******5119,5119,12/30,active,2024-08-24,,
CRD-000012,ACC-DDA-00002,CUS-00010,primary,VISA,400034,400034******8077,8077,05/30,active,2024-08-24,,
CRD-000013,ACC-CR-00009,CUS-00011,authorized_user,VISA,400012,400012******6889,6889,12/30,active,2025-06-19,,
CRD-000014,ACC-CR-00010,CUS-00012,primary,VISA,400012,400012******5543,5543,07/30,active,2017-08-18,,
CRD-000015,ACC-CR-00011,CUS-00013,primary,VISA,400012,400012******5682,5682,02/30,active,2011-07-11,,
CRD-000016,ACC-CR-00012,CUS-00014,primary,VISA,400012,400012******4056,4056,02/29,active,2020-03-24,,
CRD-000017,ACC-CR-00013,CUS-00015,primary,VISA,400012,400012******4634,4634,04/29,active,2018-12-18,,
CRD-000018,ACC-CR-00014,CUS-00016,primary,VISA,400012,400012******0917,0917,12/27,active,2015-07-28,,
CRD-000019,ACC-CR-00015,CUS-00017,primary,VISA,400012,400012******2336,2336,11/27,active,2010-11-15,,
CRD-000020,ACC-DDA-00003,CUS-00018,primary,VISA,400034,400034******1463,1463,09/27,active,2022-06-12,,
CRD-000021,ACC-CR-00016,CUS-00019,primary,VISA,400012,400012******3124,3124,04/29,active,2023-01-01,,
CRD-000022,ACC-DDA-00004,CUS-00020,primary,VISA,400034,400034******6184,6184,08/28,active,2021-11-22,,
CRD-000023,ACC-CR-00017,CUS-00021,primary,VISA,400012,400012******8217,8217,03/29,active,2023-07-06,,
CRD-000024,ACC-DDA-00005,CUS-00021,primary,VISA,400034,400034******5706,5706,05/27,active,2023-07-06,,
CRD-000025,ACC-CR-00017,CUS-00022,authorized_user,VISA,400012,400012******2832,2832,03/28,active,2025-08-01,,
CRD-000026,ACC-CR-00018,CUS-00023,primary,VISA,400012,400012******1445,1445,06/28,active,2023-06-28,,
CRD-000027,ACC-CR-00018,CUS-00024,authorized_user,VISA,400012,400012******9390,9390,01/27,active,2025-09-10,,
CRD-000028,ACC-CR-00019,CUS-00025,primary,VISA,400012,400012******2052,2052,09/28,active,2019-11-05,,
CRD-000029,ACC-CR-00020,CUS-00026,primary,VISA,400012,400012******1531,1531,04/30,active,2015-01-06,,
CRD-000030,ACC-CR-00021,CUS-00027,primary,VISA,400012,400012******7676,7676,01/27,active,2024-05-15,,
CRD-000031,ACC-CR-00022,CUS-00028,primary,VISA,400012,400012******7699,7699,08/29,active,2023-08-12,,
CRD-000032,ACC-CR-00023,CUS-00029,primary,VISA,400012,400012******9595,9595,12/29,active,2026-01-12,,
CRD-000033,ACC-CR-00024,CUS-00030,primary,VISA,400012,400012******1476,1476,12/30,active,2020-02-28,,
CRD-000034,ACC-CR-00025,CUS-00031,primary,VISA,400012,400012******2638,2638,11/27,active,2017-07-06,,
CRD-000035,ACC-CR-00026,CUS-00032,primary,VISA,400012,400012******6529,6529,10/27,active,2019-11-28,,
CRD-000036,ACC-CR-00027,CUS-00033,primary,VISA,400012,400012******9354,9354,12/30,active,2014-02-26,,
CRD-000037,ACC-CR-00028,CUS-00034,primary,VISA,400012,400012******3786,3786,09/30,active,2023-06-22,,
CRD-000038,ACC-CR-00029,CUS-00035,primary,VISA,400012,400012******7308,7308,07/29,active,2008-10-19,,
CRD-000039,ACC-CR-00030,CUS-00036,primary,VISA,400012,400012******1158,1158,11/30,active,2023-11-26,,
CRD-000040,ACC-CR-00031,CUS-00037,primary,VISA,400012,400012******2516,2516,12/27,active,2019-06-18,,
CRD-000041,ACC-DDA-00006,CUS-00037,primary,VISA,400034,400034******5842,5842,09/29,active,2019-06-18,,
CRD-000042,ACC-CR-00032,CUS-00038,primary,VISA,400012,400012******6612,6612,08/28,active,2013-10-14,,
CRD-000043,ACC-CR-00033,CUS-00039,primary,VISA,400012,400012******6348,6348,12/28,active,2016-03-13,,
CRD-000044,ACC-CR-00034,CUS-00040,primary,VISA,400012,400012******9703,9703,09/30,active,2010-06-04,,
CRD-000045,ACC-CR-00035,CUS-00041,primary,VISA,400012,400012******2941,2941,11/27,active,2024-03-16,,
CRD-000046,ACC-CR-00036,CUS-00042,primary,VISA,400012,400012******7485,7485,07/29,active,2017-06-03,,
CRD-000047,ACC-CR-00036,CUS-00043,authorized_user,VISA,400012,400012******8059,8059,05/29,active,2017-09-09,,
CRD-000048,ACC-CR-00037,CUS-00044,primary,VISA,400012,400012******8775,8775,09/27,active,2011-09-11,,
CRD-000049,ACC-CR-00038,CUS-00045,primary,VISA,400012,400012******0667,0667,01/27,active,2024-03-10,,
CRD-000050,ACC-CR-00039,CUS-00046,primary,VISA,400012,400012******7329,7329,12/27,active,2014-05-02,,
CRD-000051,ACC-CR-00040,CUS-00047,primary,VISA,400012,400012******4269,4269,12/28,active,2026-04-18,,
CRD-000052,ACC-DDA-00007,CUS-00047,primary,VISA,400034,400034******4080,4080,09/29,active,2026-04-18,,
CRD-000053,ACC-CR-00041,CUS-00048,primary,VISA,400012,400012******4908,4908,01/30,active,2024-09-17,,
CRD-000054,ACC-CR-00042,CUS-00049,primary,VISA,400012,400012******8062,8062,09/29,active,2010-06-03,,
