txn_id,account_id,card_id,token_id,customer_id,merchant_id,descriptor,mcc,txn_type,billing_amount,billing_currency,txn_amount,txn_currency,fx_rate,auth_amount,auth_id,auth_code,auth_response_code,auth_timestamp_utc,txn_local_datetime,merchant_timezone,processing_date,posting_date,pos_entry_mode,card_present,channel,cof_type,eci,cavv_present,three_ds_status,three_ds_browser_ip,avs_result,cvv2_presence,cvv2_result,clearing_seq,clearing_count,arn,related_txn_id,fraud_reported_at,available_at
TXN-0000001,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00001,GREENBASKET MARKET OH,5411,purchase,128.60,USD,128.60,USD,,128.60,AUT-00000001,7RG6MX,00,2025-10-08T11:23:00Z,2025-10-08 07:23:00,America/New_York,2025-10-09,2025-10-09,07,true,in_store,none,,,,,,,,1,1,74418085282000000000019,,,2025-10-09T06:00:00Z
TXN-0000002,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00001,GREENBASKET MARKET OH,5411,purchase,153.36,USD,153.36,USD,,153.36,AUT-00000002,0187CX,00,2025-11-27T23:25:00Z,2025-11-27 18:25:00,America/New_York,2025-11-28,2025-11-28,07,true,in_store,none,,,,,,,,1,1,74418085332000000000027,,,2025-11-28T06:00:00Z
TXN-0000003,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00002,HEARTHSIDE GROCERS OH,5411,purchase,84.22,USD,84.22,USD,,84.22,AUT-00000003,V3C8Z8,00,2025-12-16T20:46:00Z,2025-12-16 15:46:00,America/New_York,2025-12-17,2025-12-17,07,true,in_store,none,,,,,,,,1,1,74415225351000000000036,,,2025-12-17T06:00:00Z
TXN-0000004,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00002,HEARTHSIDE GROCERS OH,5411,purchase,108.10,USD,108.10,USD,,108.10,AUT-00000004,6RWGHB,00,2026-01-23T17:19:00Z,2026-01-23 12:19:00,America/New_York,2026-01-24,2026-01-24,07,true,in_store,none,,,,,,,,1,1,74415226024000000000049,,,2026-01-24T06:00:00Z
TXN-0000005,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00002,HEARTHSIDE GROCERS OH,5411,purchase,19.35,USD,19.35,USD,,19.35,AUT-00000005,XD59LJ,00,2026-02-18T02:51:00Z,2026-02-17 21:51:00,America/New_York,2026-02-18,2026-02-18,05,true,in_store,none,,,,,,,,1,1,74415226049000000000057,,,2026-02-18T06:00:00Z
TXN-0000006,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00001,GREENBASKE*COLUMB,5411,purchase,104.64,USD,104.64,USD,,104.64,AUT-00000006,C5W0LK,00,2026-03-12T17:29:00Z,2026-03-12 13:29:00,America/New_York,2026-03-13,2026-03-13,05,true,in_store,none,,,,,,,,1,1,74418086072000000000060,,,2026-03-13T06:00:00Z
TXN-0000007,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00002,HEARTHSIDE*COLUMB,5411,purchase,128.09,USD,128.09,USD,,128.09,AUT-00000007,E2SB3Q,00,2026-04-12T11:49:00Z,2026-04-12 07:49:00,America/New_York,2026-04-14,2026-04-14,05,true,in_store,none,,,,,,,,1,1,74415226104000000000075,,,2026-04-14T06:00:00Z
TXN-0000008,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00003,FIELDSTONE FOODS # OH,5411,purchase,46.34,USD,46.34,USD,,46.34,AUT-00000008,XTQ9QS,00,2026-05-02T21:29:00Z,2026-05-02 17:29:00,America/New_York,2026-05-03,2026-05-03,05,true,in_store,none,,,,,,,,1,1,74412016123000000000088,,,2026-05-03T06:00:00Z
TXN-0000009,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00001,GREENBASKE*COLUMB,5411,purchase,27.48,USD,27.48,USD,,27.48,AUT-00000009,MHVTF9,00,2026-06-19T00:33:00Z,2026-06-18 20:33:00,America/New_York,2026-06-19,2026-06-19,07,true,in_store,none,,,,,,,,1,1,74418086170000000000095,,,2026-06-19T06:00:00Z
TXN-0000010,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00002,HEARTHSIDE*COLUMB,5411,purchase,151.19,USD,151.19,USD,,151.19,AUT-00000010,ACP4PN,00,2026-07-01T22:46:00Z,2026-07-01 18:46:00,America/New_York,2026-07-02,2026-07-02,07,true,in_store,none,,,,,,,,1,1,74415226183000000000103,,,2026-07-02T06:00:00Z
TXN-0000011,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00002,HEARTHSIDE*COLUMB,5411,purchase,156.74,USD,156.74,USD,,156.74,AUT-00000011,28ZP79,00,2026-08-14T01:23:00Z,2026-08-13 21:23:00,America/New_York,2026-08-14,2026-08-14,05,true,in_store,none,,,,,,,,1,1,74415226226000000000110,,,2026-08-14T06:00:00Z
TXN-0000012,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00002,HEARTHSIDE*COLUMB,5411,purchase,23.45,USD,23.45,USD,,23.45,AUT-00000012,ECVM8G,00,2026-09-11T13:05:00Z,2026-09-11 09:05:00,America/New_York,2026-09-12,2026-09-12,05,true,in_store,none,,,,,,,,1,1,74415226255000000000122,,,2026-09-12T06:00:00Z
TXN-0000013,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00001,GREENBASKE*COLUMB,5411,purchase,155.78,USD,155.78,USD,,155.78,AUT-00000013,URMLNJ,00,2026-10-11T13:41:00Z,2026-10-11 09:41:00,America/New_York,2026-10-14,2026-10-14,05,true,in_store,none,,,,,,,,1,1,74418086287000000000137,,,2026-10-14T06:00:00Z
TXN-0000014,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00038,LANTERN ROW KITCHE OH,5812,purchase,61.49,USD,61.49,USD,,61.49,AUT-00000014,6YJE8R,00,2025-12-07T01:20:00Z,2025-12-06 20:20:00,America/New_York,2025-12-08,2025-12-08,05,true,in_store,none,,,,,,,,1,1,74418085342000000000140,,,2025-12-08T06:00:00Z
TXN-0000015,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00038,LANTERN ROW KITCHE OH,5812,purchase,34.50,USD,34.50,USD,,34.50,AUT-00000015,NDY87W,00,2026-01-06T12:28:00Z,2026-01-06 07:28:00,America/New_York,2026-01-07,2026-01-07,05,true,in_store,none,,,,,,,,1,1,74418086007000000000151,,,2026-01-07T06:00:00Z
TXN-0000016,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00037,COPPER KETTLE BIST OH,5812,purchase,101.26,USD,101.26,USD,,101.26,AUT-00000016,45CX9Y,00,2026-02-18T19:24:00Z,2026-02-18 14:24:00,America/New_York,2026-02-19,2026-02-19,05,true,in_store,none,,,,,,,,1,1,74417336050000000000165,,,2026-02-19T06:00:00Z
TXN-0000017,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00037,COPPER KETTLE BIST OH,5812,purchase,52.51,USD,52.51,USD,,52.51,AUT-00000017,H0GD20,00,2026-03-10T23:55:00Z,2026-03-10 19:55:00,America/New_York,2026-03-11,2026-03-11,07,true,in_store,none,,,,,,,,1,1,74417336070000000000179,,,2026-03-11T06:00:00Z
TXN-0000018,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00039,SALTBOX DINER OH,5812,purchase,115.11,USD,115.11,USD,,115.11,AUT-00000018,CYR3EQ,00,2026-04-06T16:07:00Z,2026-04-06 12:07:00,America/New_York,2026-04-07,2026-04-07,07,true,in_store,none,,,,,,,,1,1,74413056097000000000184,,,2026-04-07T06:00:00Z
TXN-0000019,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00037,COPPER KETTLE BIST OH,5812,purchase,25.86,USD,25.86,USD,,25.86,AUT-00000019,H63UEL,00,2026-05-05T12:54:00Z,2026-05-05 08:54:00,America/New_York,2026-05-06,2026-05-06,05,true,in_store,none,,,,,,,,1,1,74417336126000000000199,,,2026-05-06T06:00:00Z
TXN-0000020,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00073,BRISK BURGER OH,5814,purchase,23.06,USD,23.06,USD,,23.06,AUT-00000020,V2LT82,00,2026-06-06T18:58:00Z,2026-06-06 14:58:00,America/New_York,2026-06-09,2026-06-09,05,true,in_store,none,,,,,,,,1,1,74419146160000000000205,,,2026-06-09T06:00:00Z
TXN-0000021,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00073,BRISK BURGER OH,5814,purchase,7.16,USD,7.16,USD,,7.16,AUT-00000021,U59LWE,00,2026-07-26T17:48:00Z,2026-07-26 13:48:00,America/New_York,2026-07-29,2026-07-29,07,true,in_store,none,,,,,,,,1,1,74419146210000000000213,,,2026-07-29T06:00:00Z
TXN-0000022,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00098,NORTHSTAR GAS #15 OH,5542,purchase,65.31,USD,65.31,USD,,65.31,AUT-00000022,LPSX79,00,2025-12-27T14:15:00Z,2025-12-27 09:15:00,America/New_York,2025-12-29,2025-12-29,05,true,in_store,none,,,,,,,,1,1,74419145363000000000228,,,2025-12-29T06:00:00Z
TXN-0000023,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00097,PINEGROVE FUEL #12 OH,5542,purchase,77.35,USD,77.35,USD,,77.35,AUT-00000023,W6DE62,00,2026-03-07T12:09:00Z,2026-03-07 07:09:00,America/New_York,2026-03-10,2026-03-10,05,true,in_store,none,,,,,,,,1,1,74416906069000000000231,,,2026-03-10T06:00:00Z
TXN-0000024,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00097,PINEGROVE FUEL #12 OH,5542,purchase,69.74,USD,69.74,USD,,69.74,AUT-00000024,NAEVFT,00,2026-09-20T17:15:00Z,2026-09-20 13:15:00,America/New_York,2026-09-21,2026-09-21,07,true,in_store,none,,,,,,,,1,1,74416906264000000000242,,,2026-09-21T06:00:00Z
TXN-0000025,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00097,PINEGROVE FUEL #12 OH,5542,purchase,57.21,USD,57.21,USD,,57.21,AUT-00000025,MAH9LF,00,2026-10-02T18:34:00Z,2026-10-02 14:34:00,America/New_York,2026-10-05,2026-10-05,05,true,in_store,none,,,,,,,,1,1,74416906278000000000253,,,2026-10-05T06:00:00Z
TXN-0000026,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00193,FOXGLOVE & FINCH OH,5311,purchase,162.79,USD,162.79,USD,,162.79,AUT-00000026,6YP9R3,00,2026-07-23T14:02:00Z,2026-07-23 10:02:00,America/New_York,2026-07-24,2026-07-24,05,true,in_store,none,,,,,,,,1,1,74415226205000000000263,,,2026-07-24T06:00:00Z
TXN-0000027,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00165,LOOMHOUSE APPAREL,5651,purchase,175.44,USD,175.44,USD,,175.44,AUT-00000027,6RKQBK,00,2025-11-07T21:44:00Z,2025-11-07 14:44:00,America/Denver,2025-11-09,2025-11-09,01,false,ecommerce,none,07,false,,,U,1,M,1,1,74413055313000000000275,,,2025-11-09T06:00:00Z
TXN-0000028,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00165,LOOMHOUSE APPAREL,5651,purchase,121.62,USD,121.62,USD,,121.62,AUT-00000028,UQU9H4,00,2026-07-11T18:31:00Z,2026-07-11 12:31:00,America/Denver,2026-07-14,2026-07-14,01,false,ecommerce,none,07,false,,,Y,1,M,1,1,74413056195000000000284,,,2026-07-14T06:00:00Z
TXN-0000029,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00173,TUNEWELL MUSIC,5815,purchase,21.27,USD,21.27,USD,,21.27,AUT-00000029,P1XE3P,00,2025-12-24T23:49:00Z,2025-12-24 18:49:00,America/New_York,2025-12-25,2025-12-25,01,false,ecommerce,none,07,false,,,U,1,M,1,1,74419145359000000000299,,,2025-12-25T06:00:00Z
TXN-0000030,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00186,RIDEHOP,4121,purchase,13.63,USD,13.63,USD,,13.63,AUT-00000030,2ZH39J,00,2025-11-16T22:10:00Z,2025-11-16 15:10:00,America/Denver,2025-11-17,2025-11-17,10,false,in_store,none,,,,,,,,1,1,74417335321000000000301,,,2025-11-17T06:00:00Z
TXN-0000031,ACC-CR-00001,CRD-000001,,CUS-00001,MER-00186,RIDEHOP,4121,purchase,15.17,USD,15.17,USD,,15.17,AUT-00000031,BYZN2P,00,2026-03-22T22:25:00Z,2026-03-22 16:25:00,America/Denver,2026-03-25,2026-03-25,10,false,in_store,none,,,,,,,,1,1,74417336084000000000314,,,2026-03-25T06:00:00Z
